Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Páginas genéricas,Chrome 119.0.0.0,,,09-12-2023 13:20:39,09-12-2023 13:28:23,7m - 43.694s,FAILED
,,,,,,,
Test Cases/Páginas genéricas/G01 - Record,Chrome 119.0.0.0,,,09-12-2023 13:20:39,09-12-2023 13:20:58,18.429s,PASSED
"openBrowser(""https://www.record.pt/"")",Chrome 119.0.0.0,,,09-12-2023 13:20:39,09-12-2023 13:20:43,3.805s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 119.0.0.0,,,09-12-2023 13:20:43,09-12-2023 13:20:43,0.195s,PASSED
"waitForElementVisible(findTestObject(""Page_Record Tudo sobre desporto. Futebol, m_9c6716/span_CONCORDO""), 5)",Chrome 119.0.0.0,,,09-12-2023 13:20:43,09-12-2023 13:20:45,1.666s,PASSED
"click(findTestObject(""Object Repository/Page_Record Tudo sobre desporto. Futebol, m_9c6716/span_CONCORDO""))",Chrome 119.0.0.0,,,09-12-2023 13:20:45,09-12-2023 13:20:45,0.434s,PASSED
"waitForElementVisible(findTestObject(""Page_Record Tudo sobre desporto. Futebol, m_9c6716/a_AVANAR""), 5)",Chrome 119.0.0.0,,,09-12-2023 13:20:45,09-12-2023 13:20:49,3.856s,PASSED
"click(findTestObject(""Object Repository/Page_Record Tudo sobre desporto. Futebol, m_9c6716/a_AVANAR""))",Chrome 119.0.0.0,,,09-12-2023 13:20:49,09-12-2023 13:20:50,0.868s,PASSED
"waitForElementVisible(findTestObject(""Page_Record Tudo sobre desporto. Futebol, m_9c6716/a_Cancelar""), 5)",Chrome 119.0.0.0,,,09-12-2023 13:20:50,09-12-2023 13:20:51,0.304s,PASSED
"click(findTestObject(""Object Repository/Page_Record Tudo sobre desporto. Futebol, m_9c6716/a_Cancelar""))",Chrome 119.0.0.0,,,09-12-2023 13:20:51,09-12-2023 13:20:51,0.322s,PASSED
"click(findTestObject(""Object Repository/Page_Record Tudo sobre desporto. Futebol, m_9c6716/a_Benfica""))",Chrome 119.0.0.0,,,09-12-2023 13:20:51,09-12-2023 13:20:52,1.640s,PASSED
"click(findTestObject(""Object Repository/Page_Todas as notcias de Benfica na Liga Nos/span_CONCORDO""))",Chrome 119.0.0.0,,,09-12-2023 13:20:52,09-12-2023 13:20:53,0.715s,PASSED
"waitForElementVisible(findTestObject(""Page_Todas as notcias de Benfica na Liga Nos/a_Benfica""), 5)",Chrome 119.0.0.0,,,09-12-2023 13:20:53,09-12-2023 13:20:55,2.101s,PASSED
"rightClick(findTestObject(""Object Repository/Page_Todas as notcias de Benfica na Liga Nos/a_Benfica""))",Chrome 119.0.0.0,,,09-12-2023 13:20:55,09-12-2023 13:20:56,0.780s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_Todas as notcias de Benfica na Liga Nos/h2_Benfica""), 5)",Chrome 119.0.0.0,,,09-12-2023 13:20:56,09-12-2023 13:20:57,1.024s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Todas as notcias de Benfica na Liga Nos/a_Benfica""))",Chrome 119.0.0.0,,,09-12-2023 13:20:57,09-12-2023 13:20:57,0.292s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,09-12-2023 13:20:57,09-12-2023 13:20:58,0.211s,PASSED
,,,,,,,
Test Cases/Páginas genéricas/G02 - A Bola,Chrome 119.0.0.0,,,09-12-2023 13:20:58,09-12-2023 13:21:05,7.339s,PASSED
"openBrowser(""https://www.abola.pt/"")",Chrome 119.0.0.0,,,09-12-2023 13:20:58,09-12-2023 13:21:00,2.200s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 119.0.0.0,,,09-12-2023 13:21:00,09-12-2023 13:21:00,0.132s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_A BOLA - Homepage  Abola.pt/button_Aceito""), 5)",Chrome 119.0.0.0,,,09-12-2023 13:21:00,09-12-2023 13:21:01,1.229s,PASSED
