Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Páginas genéricas,Chrome 119.0.0.0,,,08-12-2023 16:49:21,08-12-2023 16:53:54,4m - 32.341s,FAILED
,,,,,,,
Test Cases/Páginas genéricas/G01 - Record,Chrome 119.0.0.0,,,08-12-2023 16:49:22,08-12-2023 16:49:41,19.531s,PASSED
"openBrowser(""https://www.record.pt/"")",Chrome 119.0.0.0,,,08-12-2023 16:49:22,08-12-2023 16:49:25,3.345s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 119.0.0.0,,,08-12-2023 16:49:25,08-12-2023 16:49:25,0.161s,PASSED
"waitForElementVisible(findTestObject(""Page_Record Tudo sobre desporto. Futebol, m_9c6716/span_CONCORDO""), 5)",Chrome 119.0.0.0,,,08-12-2023 16:49:25,08-12-2023 16:49:27,1.592s,PASSED
"click(findTestObject(""Object Repository/Page_Record Tudo sobre desporto. Futebol, m_9c6716/span_CONCORDO""))",Chrome 119.0.0.0,,,08-12-2023 16:49:27,08-12-2023 16:49:28,0.952s,PASSED
"waitForElementVisible(findTestObject(""Page_Record Tudo sobre desporto. Futebol, m_9c6716/a_AVANAR""), 5)",Chrome 119.0.0.0,,,08-12-2023 16:49:28,08-12-2023 16:49:31,3.022s,PASSED
"click(findTestObject(""Object Repository/Page_Record Tudo sobre desporto. Futebol, m_9c6716/a_AVANAR""))",Chrome 119.0.0.0,,,08-12-2023 16:49:31,08-12-2023 16:49:32,1.245s,PASSED
"waitForElementVisible(findTestObject(""Page_Record Tudo sobre desporto. Futebol, m_9c6716/a_Cancelar""), 5)",Chrome 119.0.0.0,,,08-12-2023 16:49:32,08-12-2023 16:49:32,0.328s,PASSED
"click(findTestObject(""Object Repository/Page_Record Tudo sobre desporto. Futebol, m_9c6716/a_Cancelar""))",Chrome 119.0.0.0,,,08-12-2023 16:49:32,08-12-2023 16:49:33,0.351s,PASSED
"click(findTestObject(""Object Repository/Page_Record Tudo sobre desporto. Futebol, m_9c6716/a_Benfica""))",Chrome 119.0.0.0,,,08-12-2023 16:49:33,08-12-2023 16:49:34,1.734s,PASSED
"click(findTestObject(""Object Repository/Page_Todas as notcias de Benfica na Liga Nos/span_CONCORDO""))",Chrome 119.0.0.0,,,08-12-2023 16:49:34,08-12-2023 16:49:36,1.346s,PASSED
"waitForElementVisible(findTestObject(""Page_Todas as notcias de Benfica na Liga Nos/a_Benfica""), 5)",Chrome 119.0.0.0,,,08-12-2023 16:49:36,08-12-2023 16:49:39,2.968s,PASSED
"rightClick(findTestObject(""Object Repository/Page_Todas as notcias de Benfica na Liga Nos/a_Benfica""))",Chrome 119.0.0.0,,,08-12-2023 16:49:39,08-12-2023 16:49:40,1.034s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_Todas as notcias de Benfica na Liga Nos/h2_Benfica""), 5)",Chrome 119.0.0.0,,,08-12-2023 16:49:40,08-12-2023 16:49:40,0.682s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Todas as notcias de Benfica na Liga Nos/a_Benfica""))",Chrome 119.0.0.0,,,08-12-2023 16:49:40,08-12-2023 16:49:41,0.309s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,08-12-2023 16:49:41,08-12-2023 16:49:41,0.258s,PASSED
,,,,,,,
Test Cases/Páginas genéricas/G02 - A Bola,Chrome 119.0.0.0,,,08-12-2023 16:49:41,08-12-2023 16:49:50,8.871s,PASSED
"openBrowser(""https://www.abola.pt/"")",Chrome 119.0.0.0,,,08-12-2023 16:49:41,08-12-2023 16:49:44,2.532s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 119.0.0.0,,,08-12-2023 16:49:44,08-12-2023 16:49:44,0.144s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_A BOLA - Homepage  Abola.pt/button_Aceito""), 5)",Chrome 119.0.0.0,,,08-12-2023 16:49:44,08-12-2023 16:49:45,1.208s,PASSED
"click(findTestObject(""Object Repository/Page_A BOLA - Homepage  Abola.pt/button_Aceito""))",Chrome 119.0.0.0,,,08-12-2023 16:49:45,08-12-2023 16:49:46,0.781s,PASSED
