Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Páginas genéricas,Chrome 119.0.0.0,,,08-12-2023 14:49:36,08-12-2023 14:51:43,2m - 6.902s,PASSED
,,,,,,,
Test Cases/Páginas genéricas/G01 - Record,Chrome 119.0.0.0,,,08-12-2023 14:49:36,08-12-2023 14:49:54,17.630s,PASSED
"openBrowser(""https://www.record.pt/"")",Chrome 119.0.0.0,,,08-12-2023 14:49:36,08-12-2023 14:49:40,3.728s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 119.0.0.0,,,08-12-2023 14:49:40,08-12-2023 14:49:40,0.175s,PASSED
"waitForElementVisible(findTestObject(""Page_Record Tudo sobre desporto. Futebol, m_9c6716/span_CONCORDO""), 5)",Chrome 119.0.0.0,,,08-12-2023 14:49:40,08-12-2023 14:49:41,1.210s,PASSED
"click(findTestObject(""Object Repository/Page_Record Tudo sobre desporto. Futebol, m_9c6716/span_CONCORDO""))",Chrome 119.0.0.0,,,08-12-2023 14:49:41,08-12-2023 14:49:42,0.667s,PASSED
"waitForElementVisible(findTestObject(""Page_Record Tudo sobre desporto. Futebol, m_9c6716/a_AVANAR""), 5)",Chrome 119.0.0.0,,,08-12-2023 14:49:42,08-12-2023 14:49:45,2.954s,PASSED
"click(findTestObject(""Object Repository/Page_Record Tudo sobre desporto. Futebol, m_9c6716/a_AVANAR""))",Chrome 119.0.0.0,,,08-12-2023 14:49:45,08-12-2023 14:49:46,1.134s,PASSED
"waitForElementVisible(findTestObject(""Page_Record Tudo sobre desporto. Futebol, m_9c6716/a_Cancelar""), 5)",Chrome 119.0.0.0,,,08-12-2023 14:49:46,08-12-2023 14:49:46,0.322s,PASSED
"click(findTestObject(""Object Repository/Page_Record Tudo sobre desporto. Futebol, m_9c6716/a_Cancelar""))",Chrome 119.0.0.0,,,08-12-2023 14:49:46,08-12-2023 14:49:47,0.342s,PASSED
"click(findTestObject(""Object Repository/Page_Record Tudo sobre desporto. Futebol, m_9c6716/a_Benfica""))",Chrome 119.0.0.0,,,08-12-2023 14:49:47,08-12-2023 14:49:49,1.803s,PASSED
"click(findTestObject(""Object Repository/Page_Todas as notcias de Benfica na Liga Nos/span_CONCORDO""))",Chrome 119.0.0.0,,,08-12-2023 14:49:49,08-12-2023 14:49:49,0.722s,PASSED
"waitForElementVisible(findTestObject(""Page_Todas as notcias de Benfica na Liga Nos/a_Benfica""), 5)",Chrome 119.0.0.0,,,08-12-2023 14:49:49,08-12-2023 14:49:52,2.899s,PASSED
"rightClick(findTestObject(""Object Repository/Page_Todas as notcias de Benfica na Liga Nos/a_Benfica""))",Chrome 119.0.0.0,,,08-12-2023 14:49:52,08-12-2023 14:49:53,0.473s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_Todas as notcias de Benfica na Liga Nos/h2_Benfica""), 5)",Chrome 119.0.0.0,,,08-12-2023 14:49:53,08-12-2023 14:49:53,0.434s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Todas as notcias de Benfica na Liga Nos/a_Benfica""))",Chrome 119.0.0.0,,,08-12-2023 14:49:53,08-12-2023 14:49:53,0.301s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,08-12-2023 14:49:53,08-12-2023 14:49:54,0.248s,PASSED
,,,,,,,
Test Cases/Páginas genéricas/G02 - A Bola,Chrome 119.0.0.0,,,08-12-2023 14:49:54,08-12-2023 14:50:03,9.634s,PASSED
"openBrowser(""https://www.abola.pt/"")",Chrome 119.0.0.0,,,08-12-2023 14:49:54,08-12-2023 14:49:57,3.068s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 119.0.0.0,,,08-12-2023 14:49:57,08-12-2023 14:49:57,0.135s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_A BOLA - Homepage  Abola.pt/button_Aceito""), 5)",Chrome 119.0.0.0,,,08-12-2023 14:49:57,08-12-2023 14:49:58,1.232s,PASSED
"click(findTestObject(""Object Repository/Page_A BOLA - Homepage  Abola.pt/button_Aceito""))",Chrome 119.0.0.0,,,08-12-2023 14:49:58,08-12-2023 14:49:58,0.390s,PASSED
"click(findTestObject(""Object Repository/Page_A BOLA - Homepage  Abola.pt/imgrptClassificacaoPais_imgLogo_0""))",Chrome 119.0.0.0,,,08-12-2023 14:49:58,08-12-2023 14:50:01,2.171s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Benfica - ltimas notcias e atualizaes _774b92/span_Benfica""), 5)",Chrome 119.0.0.0,,,08-12-2023 14:50:01,08-12-2023 14:50:03,2.368s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,08-12-2023 14:50:03,08-12-2023 14:50:03,0.210s,PASSED
,,,,,,,
Test Cases/Páginas genéricas/G03 - O Jogo,Chrome 119.0.0.0,,,08-12-2023 14:50:03,08-12-2023 14:50:15,11.829s,PASSED
