Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementPresent(findTestObject(""Object Repository/Page_Benfica - O Jogo/div_Benfica""), 5)",Chrome 119.0.0.0,,,09-12-2023 11:11:44,09-12-2023 11:11:45,0.387s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,09-12-2023 11:11:45,09-12-2023 11:11:45,0.172s,PASSED
,,,,,,,
Test Cases/Páginas genéricas/G05 - Sábado,Chrome 119.0.0.0,,,09-12-2023 11:11:45,09-12-2023 11:11:53,8.217s,PASSED
"openBrowser(""https://www.sabado.pt/"")",Chrome 119.0.0.0,,,09-12-2023 11:11:45,09-12-2023 11:11:49,4.162s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_SBADO/span_CONCORDO""), 5)",Chrome 119.0.0.0,,,09-12-2023 11:11:49,09-12-2023 11:11:50,0.804s,PASSED
"click(findTestObject(""Object Repository/Page_SBADO/span_CONCORDO""))",Chrome 119.0.0.0,,,09-12-2023 11:11:50,09-12-2023 11:11:51,1.455s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_SBADO/a_Sbado""), 5)",Chrome 119.0.0.0,,,09-12-2023 11:11:51,09-12-2023 11:11:53,1.434s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,09-12-2023 11:11:53,09-12-2023 11:11:53,0.320s,PASSED
,,,,,,,
Test Cases/Páginas genéricas/G06 - Visão,Chrome 119.0.0.0,,,09-12-2023 11:11:53,09-12-2023 11:12:01,8.061s,PASSED
"openBrowser(""https://visao.pt/"")",Chrome 119.0.0.0,,,09-12-2023 11:11:53,09-12-2023 11:11:55,2.360s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 119.0.0.0,,,09-12-2023 11:11:55,09-12-2023 11:11:56,0.180s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_Viso  Notcias da atualidade nacional e_c86d70/button_EU ACEITO""), 5)",Chrome 119.0.0.0,,,09-12-2023 11:11:56,09-12-2023 11:11:56,0.667s,PASSED
"click(findTestObject(""Object Repository/Page_Viso  Notcias da atualidade nacional e_c86d70/span_EU ACEITO""))",Chrome 119.0.0.0,,,09-12-2023 11:11:56,09-12-2023 11:11:57,0.542s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_Viso  Notcias da atualidade nacional e_c86d70/button_Agora no""), 5)",Chrome 119.0.0.0,,,09-12-2023 11:11:57,09-12-2023 11:11:58,1.661s,PASSED
"click(findTestObject(""Object Repository/Page_Viso  Notcias da atualidade nacional e_c86d70/button_Agora no""))",Chrome 119.0.0.0,,,09-12-2023 11:11:58,09-12-2023 11:12:00,1.112s,PASSED
"click(findTestObject(""Object Repository/Page_Viso  Notcias da atualidade nacional e_c86d70/i_fa fa-times""))",Chrome 119.0.0.0,,,09-12-2023 11:12:00,09-12-2023 11:12:00,0.513s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Viso  Notcias da atualidade nacional e_c86d70/img_d-none d-md-block""), 5)",Chrome 119.0.0.0,,,09-12-2023 11:12:00,09-12-2023 11:12:01,0.848s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,09-12-2023 11:12:01,09-12-2023 11:12:01,0.135s,PASSED
,,,,,,,
