Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Páginas genéricas,Chrome 119.0.0.0,,,09-12-2023 12:45:52,09-12-2023 12:55:34,9m - 42.140s,FAILED
,,,,,,,
Test Cases/Páginas genéricas/G01 - Record,Chrome 119.0.0.0,,,09-12-2023 12:45:52,09-12-2023 12:46:11,18.765s,PASSED
"openBrowser(""https://www.record.pt/"")",Chrome 119.0.0.0,,,09-12-2023 12:45:52,09-12-2023 12:45:56,4.019s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 119.0.0.0,,,09-12-2023 12:45:56,09-12-2023 12:45:56,0.155s,PASSED
"waitForElementVisible(findTestObject(""Page_Record Tudo sobre desporto. Futebol, m_9c6716/span_CONCORDO""), 5)",Chrome 119.0.0.0,,,09-12-2023 12:45:56,09-12-2023 12:45:58,1.529s,PASSED
"click(findTestObject(""Object Repository/Page_Record Tudo sobre desporto. Futebol, m_9c6716/span_CONCORDO""))",Chrome 119.0.0.0,,,09-12-2023 12:45:58,09-12-2023 12:45:58,0.432s,PASSED
"waitForElementVisible(findTestObject(""Page_Record Tudo sobre desporto. Futebol, m_9c6716/a_AVANAR""), 5)",Chrome 119.0.0.0,,,09-12-2023 12:45:58,09-12-2023 12:46:01,3.033s,PASSED
"click(findTestObject(""Object Repository/Page_Record Tudo sobre desporto. Futebol, m_9c6716/a_AVANAR""))",Chrome 119.0.0.0,,,09-12-2023 12:46:01,09-12-2023 12:46:02,0.939s,PASSED
"waitForElementVisible(findTestObject(""Page_Record Tudo sobre desporto. Futebol, m_9c6716/a_Cancelar""), 5)",Chrome 119.0.0.0,,,09-12-2023 12:46:02,09-12-2023 12:46:03,0.317s,PASSED
"click(findTestObject(""Object Repository/Page_Record Tudo sobre desporto. Futebol, m_9c6716/a_Cancelar""))",Chrome 119.0.0.0,,,09-12-2023 12:46:03,09-12-2023 12:46:03,0.329s,PASSED
"click(findTestObject(""Object Repository/Page_Record Tudo sobre desporto. Futebol, m_9c6716/a_Benfica""))",Chrome 119.0.0.0,,,09-12-2023 12:46:03,09-12-2023 12:46:05,1.584s,PASSED
"click(findTestObject(""Object Repository/Page_Todas as notcias de Benfica na Liga Nos/span_CONCORDO""))",Chrome 119.0.0.0,,,09-12-2023 12:46:05,09-12-2023 12:46:06,1.391s,PASSED
"waitForElementVisible(findTestObject(""Page_Todas as notcias de Benfica na Liga Nos/a_Benfica""), 5)",Chrome 119.0.0.0,,,09-12-2023 12:46:06,09-12-2023 12:46:09,3.121s,PASSED
"rightClick(findTestObject(""Object Repository/Page_Todas as notcias de Benfica na Liga Nos/a_Benfica""))",Chrome 119.0.0.0,,,09-12-2023 12:46:09,09-12-2023 12:46:10,0.795s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_Todas as notcias de Benfica na Liga Nos/h2_Benfica""), 5)",Chrome 119.0.0.0,,,09-12-2023 12:46:10,09-12-2023 12:46:10,0.318s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Todas as notcias de Benfica na Liga Nos/a_Benfica""))",Chrome 119.0.0.0,,,09-12-2023 12:46:10,09-12-2023 12:46:10,0.323s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,09-12-2023 12:46:10,09-12-2023 12:46:11,0.233s,PASSED
,,,,,,,
Test Cases/Páginas genéricas/G02 - A Bola,Chrome 119.0.0.0,,,09-12-2023 12:46:11,09-12-2023 12:46:18,7.360s,PASSED
"openBrowser(""https://www.abola.pt/"")",Chrome 119.0.0.0,,,09-12-2023 12:46:11,09-12-2023 12:46:13,2.448s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 119.0.0.0,,,09-12-2023 12:46:13,09-12-2023 12:46:13,0.136s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_A BOLA - Homepage  Abola.pt/button_Aceito""), 5)",Chrome 119.0.0.0,,,09-12-2023 12:46:13,09-12-2023 12:46:15,1.198s,PASSED
"click(findTestObject(""Object Repository/Page_A BOLA - Homepage  Abola.pt/button_Aceito""))",Chrome 119.0.0.0,,,09-12-2023 12:46:15,09-12-2023 12:46:15,0.384s,PASSED
"click(findTestObject(""Object Repository/Page_A BOLA - Homepage  Abola.pt/imgrptClassificacaoPais_imgLogo_0""))",Chrome 119.0.0.0,,,09-12-2023 12:46:15,09-12-2023 12:46:17,1.596s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Benfica - ltimas notcias e atualizaes _774b92/span_Benfica""), 5)",Chrome 119.0.0.0,,,09-12-2023 12:46:17,09-12-2023 12:46:18,1.400s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,09-12-2023 12:46:18,09-12-2023 12:46:18,0.131s,PASSED
,,,,,,,
Test Cases/Páginas genéricas/G03 - O Jogo,Chrome 119.0.0.0,,,09-12-2023 12:46:18,09-12-2023 12:46:32,13.790s,PASSED
"openBrowser(""https://www.ojogo.pt/"")",Chrome 119.0.0.0,,,09-12-2023 12:46:18,09-12-2023 12:46:20,2.133s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 119.0.0.0,,,09-12-2023 12:46:20,09-12-2023 12:46:20,0.131s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_O Jogo/p_Consentir""), 5)",Chrome 119.0.0.0,,,09-12-2023 12:46:20,09-12-2023 12:46:23,2.242s,PASSED
"click(findTestObject(""Object Repository/Page_O Jogo/p_Consentir""))",Chrome 119.0.0.0,,,09-12-2023 12:46:23,09-12-2023 12:46:23,0.434s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_O Jogo/strong_Avanar""), 5)",Chrome 119.0.0.0,,,09-12-2023 12:46:23,09-12-2023 12:46:26,2.506s,PASSED
"click(findTestObject(""Object Repository/Page_O Jogo/strong_Avanar""))",Chrome 119.0.0.0,,,09-12-2023 12:46:26,09-12-2023 12:46:26,0.851s,PASSED
"click(findTestObject(""Object Repository/Page_O Jogo/img_img-fluid""))",Chrome 119.0.0.0,,,09-12-2023 12:46:26,09-12-2023 12:46:29,2.115s,PASSED
"click(findTestObject(""Object Repository/Page_Benfica - O Jogo/strong_Avanar""))",Chrome 119.0.0.0,,,09-12-2023 12:46:29,09-12-2023 12:46:31,2.729s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Benfica - O Jogo/div_Benfica""), 5)",Chrome 119.0.0.0,,,09-12-2023 12:46:31,09-12-2023 12:46:32,0.411s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,09-12-2023 12:46:32,09-12-2023 12:46:32,0.138s,PASSED
,,,,,,,
Test Cases/Páginas genéricas/G05 - Sábado,Chrome 119.0.0.0,,,09-12-2023 12:46:32,09-12-2023 12:46:38,6.136s,PASSED
"openBrowser(""https://www.sabado.pt/"")",Chrome 119.0.0.0,,,09-12-2023 12:46:32,09-12-2023 12:46:35,2.963s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_SBADO/span_CONCORDO""), 5)",Chrome 119.0.0.0,,,09-12-2023 12:46:35,09-12-2023 12:46:36,0.929s,PASSED
"click(findTestObject(""Object Repository/Page_SBADO/span_CONCORDO""))",Chrome 119.0.0.0,,,09-12-2023 12:46:36,09-12-2023 12:46:36,0.440s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_SBADO/a_Sbado""), 5)",Chrome 119.0.0.0,,,09-12-2023 12:46:36,09-12-2023 12:46:38,1.622s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,09-12-2023 12:46:38,09-12-2023 12:46:38,0.125s,PASSED
,,,,,,,
