Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Páginas genéricas,,,,20-06-2024 20:17:05,20-06-2024 20:17:06,0.482s,ERROR
,,,,,,,
Test Cases/Páginas genéricas/G01 - Record,,,,20-06-2024 20:17:05,20-06-2024 20:17:05,0.003s,ERROR
,,,,,,,
Test Cases/Páginas genéricas/G02 - A Bola,,,,20-06-2024 20:17:05,20-06-2024 20:17:05,0.003s,ERROR
,,,,,,,
Test Cases/Páginas genéricas/G03 - O Jogo,,,,20-06-2024 20:17:05,20-06-2024 20:17:05,0.002s,ERROR
,,,,,,,
Test Cases/Páginas genéricas/G05 - Sábado,,,,20-06-2024 20:17:05,20-06-2024 20:17:05,0.002s,ERROR
,,,,,,,
Test Cases/Páginas genéricas/G06 - Visão,,,,20-06-2024 20:17:05,20-06-2024 20:17:05,0.003s,ERROR
,,,,,,,
Test Cases/Páginas genéricas/G07 - DN,,,,20-06-2024 20:17:05,20-06-2024 20:17:05,0.003s,ERROR
,,,,,,,
Test Cases/Páginas genéricas/G08 - TSF,,,,20-06-2024 20:17:05,20-06-2024 20:17:05,0.003s,ERROR
,,,,,,,
Test Cases/Páginas genéricas/G09 - JN,,,,20-06-2024 20:17:05,20-06-2024 20:17:05,0.004s,ERROR
,,,,,,,
Test Cases/Páginas genéricas/G10 - Público,,,,20-06-2024 20:17:05,20-06-2024 20:17:05,0.002s,ERROR
,,,,,,,
Test Cases/Páginas genéricas/G11 - Eco,,,,20-06-2024 20:17:06,20-06-2024 20:17:06,0.003s,ERROR
,,,,,,,
Test Cases/Páginas genéricas/G12 - Zap,,,,20-06-2024 20:17:06,20-06-2024 20:17:06,0.003s,ERROR
,,,,,,,
Test Cases/Páginas genéricas/G13 - Expresso,,,,20-06-2024 20:17:06,20-06-2024 20:17:06,0.003s,ERROR
,,,,,,,
Test Cases/Páginas genéricas/G14 - Governo,,,,20-06-2024 20:17:06,20-06-2024 20:17:06,0.001s,ERROR
,,,,,,,
Test Cases/Páginas genéricas/G15 - AR,,,,20-06-2024 20:17:06,20-06-2024 20:17:06,0.003s,ERROR
,,,,,,,
Test Cases/Páginas genéricas/G16 - Conselho de Ministros,,,,20-06-2024 20:17:06,20-06-2024 20:17:06,0.002s,ERROR
