Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Páginas genéricas,Chrome 119.0.0.0,,,08-12-2023 16:37:12,08-12-2023 16:38:47,1m - 35.773s,PASSED
,,,,,,,
Test Cases/Páginas genéricas/G01 - Record,Chrome 119.0.0.0,,,08-12-2023 16:37:12,08-12-2023 16:37:30,18.424s,PASSED
"openBrowser(""https://www.record.pt/"")",Chrome 119.0.0.0,,,08-12-2023 16:37:12,08-12-2023 16:37:15,3.290s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 119.0.0.0,,,08-12-2023 16:37:15,08-12-2023 16:37:16,0.274s,PASSED
"waitForElementVisible(findTestObject(""Page_Record Tudo sobre desporto. Futebol, m_9c6716/span_CONCORDO""), 5)",Chrome 119.0.0.0,,,08-12-2023 16:37:16,08-12-2023 16:37:17,1.139s,PASSED
"click(findTestObject(""Object Repository/Page_Record Tudo sobre desporto. Futebol, m_9c6716/span_CONCORDO""))",Chrome 119.0.0.0,,,08-12-2023 16:37:17,08-12-2023 16:37:17,0.750s,PASSED
"waitForElementVisible(findTestObject(""Page_Record Tudo sobre desporto. Futebol, m_9c6716/a_AVANAR""), 5)",Chrome 119.0.0.0,,,08-12-2023 16:37:17,08-12-2023 16:37:21,3.293s,PASSED
"click(findTestObject(""Object Repository/Page_Record Tudo sobre desporto. Futebol, m_9c6716/a_AVANAR""))",Chrome 119.0.0.0,,,08-12-2023 16:37:21,08-12-2023 16:37:22,1.371s,PASSED
"waitForElementVisible(findTestObject(""Page_Record Tudo sobre desporto. Futebol, m_9c6716/a_Cancelar""), 5)",Chrome 119.0.0.0,,,08-12-2023 16:37:22,08-12-2023 16:37:22,0.333s,PASSED
"click(findTestObject(""Object Repository/Page_Record Tudo sobre desporto. Futebol, m_9c6716/a_Cancelar""))",Chrome 119.0.0.0,,,08-12-2023 16:37:22,08-12-2023 16:37:23,0.452s,PASSED
"click(findTestObject(""Object Repository/Page_Record Tudo sobre desporto. Futebol, m_9c6716/a_Benfica""))",Chrome 119.0.0.0,,,08-12-2023 16:37:23,08-12-2023 16:37:25,1.683s,PASSED
"click(findTestObject(""Object Repository/Page_Todas as notcias de Benfica na Liga Nos/span_CONCORDO""))",Chrome 119.0.0.0,,,08-12-2023 16:37:25,08-12-2023 16:37:25,0.756s,PASSED
"waitForElementVisible(findTestObject(""Page_Todas as notcias de Benfica na Liga Nos/a_Benfica""), 5)",Chrome 119.0.0.0,,,08-12-2023 16:37:25,08-12-2023 16:37:28,2.919s,PASSED
"rightClick(findTestObject(""Object Repository/Page_Todas as notcias de Benfica na Liga Nos/a_Benfica""))",Chrome 119.0.0.0,,,08-12-2023 16:37:28,08-12-2023 16:37:29,1.017s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_Todas as notcias de Benfica na Liga Nos/h2_Benfica""), 5)",Chrome 119.0.0.0,,,08-12-2023 16:37:29,08-12-2023 16:37:30,0.309s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Todas as notcias de Benfica na Liga Nos/a_Benfica""))",Chrome 119.0.0.0,,,08-12-2023 16:37:30,08-12-2023 16:37:30,0.320s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,08-12-2023 16:37:30,08-12-2023 16:37:30,0.281s,PASSED
,,,,,,,
Test Cases/Páginas genéricas/G02 - A Bola,Chrome 119.0.0.0,,,08-12-2023 16:37:30,08-12-2023 16:37:37,6.503s,PASSED
"openBrowser(""https://www.abola.pt/"")",Chrome 119.0.0.0,,,08-12-2023 16:37:30,08-12-2023 16:37:32,2.056s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 119.0.0.0,,,08-12-2023 16:37:32,08-12-2023 16:37:32,0.142s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_A BOLA - Homepage  Abola.pt/button_Aceito""), 5)",Chrome 119.0.0.0,,,08-12-2023 16:37:32,08-12-2023 16:37:34,1.177s,PASSED
"click(findTestObject(""Object Repository/Page_A BOLA - Homepage  Abola.pt/button_Aceito""))",Chrome 119.0.0.0,,,08-12-2023 16:37:34,08-12-2023 16:37:34,0.370s,PASSED
"click(findTestObject(""Object Repository/Page_A BOLA - Homepage  Abola.pt/imgrptClassificacaoPais_imgLogo_0""))",Chrome 119.0.0.0,,,08-12-2023 16:37:34,08-12-2023 16:37:35,1.196s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Benfica - ltimas notcias e atualizaes _774b92/span_Benfica""), 5)",Chrome 119.0.0.0,,,08-12-2023 16:37:35,08-12-2023 16:37:37,1.347s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,08-12-2023 16:37:37,08-12-2023 16:37:37,0.134s,PASSED
,,,,,,,
Test Cases/Páginas genéricas/G03 - O Jogo,Chrome 119.0.0.0,,,08-12-2023 16:37:37,08-12-2023 16:37:50,13.083s,PASSED
"openBrowser(""https://www.ojogo.pt/"")",Chrome 119.0.0.0,,,08-12-2023 16:37:37,08-12-2023 16:37:39,2.065s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 119.0.0.0,,,08-12-2023 16:37:39,08-12-2023 16:37:39,0.139s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_O Jogo/p_Consentir""), 5)",Chrome 119.0.0.0,,,08-12-2023 16:37:39,08-12-2023 16:37:41,2.235s,PASSED
"click(findTestObject(""Object Repository/Page_O Jogo/p_Consentir""))",Chrome 119.0.0.0,,,08-12-2023 16:37:41,08-12-2023 16:37:42,0.692s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_O Jogo/strong_Avanar""), 5)",Chrome 119.0.0.0,,,08-12-2023 16:37:42,08-12-2023 16:37:44,2.587s,PASSED
"click(findTestObject(""Object Repository/Page_O Jogo/strong_Avanar""))",Chrome 119.0.0.0,,,08-12-2023 16:37:44,08-12-2023 16:37:46,1.254s,PASSED
"click(findTestObject(""Object Repository/Page_O Jogo/img_img-fluid""))",Chrome 119.0.0.0,,,08-12-2023 16:37:46,08-12-2023 16:37:47,1.538s,PASSED
